,block_number,floor,unit_number,price,area
179,437B,#14,1595,"$501,000",116
180,437B,#15,1595,"$502,900",116
181,437B,#16,1595,"$504,800",116
182,437B,#17,1595,"$506,700",116
183,437B,#18,1595,"$508,600",116
184,437B,#19,1595,"$510,500",116
185,437B,#20,1595,"$512,400",116
186,437B,#21,1595,"$514,300",116
187,437B,#22,1595,"$514,300",116
188,437B,#02,1597,"$422,100",113
189,437B,#03,1597,"$438,300",113
190,437B,#04,1597,"$445,200",113
191,437B,#05,1597,"$452,100",113
192,437B,#06,1597,"$456,700",113
193,437B,#07,1597,"$461,300",113
194,437B,#08,1597,"$465,900",113
195,437B,#09,1597,"$467,800",113
196,437B,#10,1597,"$469,700",113
197,437B,#11,1597,"$471,600",113
198,437B,#12,1597,"$473,500",113
199,437B,#13,1597,"$475,400",113
200,437B,#14,1597,"$477,300",113
201,437B,#15,1597,"$479,200",113
202,437B,#16,1597,"$481,100",113
203,437B,#17,1597,"$483,000",113
204,437B,#18,1597,"$484,900",113
205,437B,#19,1597,"$486,800",113
206,437B,#20,1597,"$488,700",113
207,437B,#21,1597,"$490,600",113
208,437B,#22,1597,"$490,600",113
209,437B,#02,1599,"$434,900",116
210,437B,#03,1599,"$451,500",116
211,437B,#04,1599,"$458,600",116
212,437B,#05,1599,"$465,700",116
213,437B,#06,1599,"$470,500",116
214,437B,#07,1599,"$475,300",116
215,437B,#08,1599,"$480,100",116
216,437B,#09,1599,"$482,000",116
217,437B,#10,1599,"$483,900",116
218,437B,#11,1599,"$485,800",116
219,437B,#12,1599,"$487,700",116
220,437B,#13,1599,"$489,600",116
221,437B,#14,1599,"$491,500",116
222,437B,#15,1599,"$493,400",116
223,437B,#16,1599,"$495,300",116
224,437B,#17,1599,"$497,200",116
225,437B,#18,1599,"$499,100",116
226,437B,#19,1599,"$501,000",116
227,437B,#20,1599,"$502,900",116
228,437B,#21,1599,"$504,800",116
229,437B,#22,1599,"$504,800",116
230,442A,#02,600,"$460,300",113
231,442A,#03,600,"$467,700",113
232,442A,#04,600,"$475,100",113
233,442A,#05,600,"$482,500",113
234,442A,#06,600,"$487,400",113
235,442A,#07,600,"$492,300",113
236,442A,#08,600,"$497,200",113
237,442A,#09,600,"$499,200",113
238,442A,#10,600,"$501,200",113
239,442A,#11,600,"$503,200",113
240,442A,#12,600,"$505,200",113
241,442A,#13,600,"$507,200",113
242,442A,#14,600,"$509,200",113
243,442A,#15,600,"$511,200",113
244,442A,#16,600,"$513,200",113
245,442A,#17,600,"$515,200",113
246,442A,#18,600,"$522,100",113
247,442A,#19,600,"$519,200",113
248,442A,#20,600,"$526,100",113
249,442A,#21,600,"$533,000",113
250,442A,#22,600,"$535,000",113
251,442A,#23,600,"$537,000",113
252,442A,#24,600,"$539,000",113
253,442A,#25,600,"$541,000",113
254,442A,#26,600,"$541,000",113
255,442A,#03,602,"$462,800",113
256,442A,#04,602,"$470,200",113
257,442A,#05,602,"$477,600",113
258,442A,#06,602,"$482,500",113
259,442A,#07,602,"$487,400",113
260,442A,#08,602,"$492,300",113
261,442A,#09,602,"$494,300",113
262,442A,#10,602,"$496,300",113
263,442A,#11,602,"$498,300",113
264,442A,#12,602,"$500,300",113
265,442A,#13,602,"$502,300",113
266,442A,#14,602,"$504,300",113
267,442A,#15,602,"$506,300",113
268,442A,#16,602,"$508,300",113
269,442A,#17,602,"$515,200",113
270,442A,#18,602,"$522,100",113
271,442A,#19,602,"$519,200",113
272,442A,#20,602,"$526,100",113
273,442A,#21,602,"$533,000",113
274,442A,#22,602,"$535,000",113
275,442A,#23,602,"$537,000",113
276,442A,#24,602,"$539,000",113
277,442A,#25,602,"$541,000",113
278,442A,#26,602,"$541,000",113
279,442A,#02,610,"$479,900",113
280,442A,#03,610,"$487,300",113
281,442A,#04,610,"$494,700",113
282,442A,#05,610,"$502,100",113
283,442A,#06,610,"$507,000",113
284,442A,#07,610,"$511,900",113
285,442A,#08,610,"$516,800",113
286,442A,#09,610,"$518,800",113
287,442A,#10,610,"$520,800",113
288,442A,#11,610,"$522,800",113
289,442A,#12,610,"$524,800",113
290,442A,#13,610,"$526,800",113
291,442A,#14,610,"$528,800",113
292,442A,#15,610,"$530,800",113
293,442A,#16,610,"$532,800",113
294,442A,#17,610,"$534,800",113
295,442A,#20,610,"$540,800",113
296,442A,#21,610,"$542,800",113
297,442A,#22,610,"$544,800",113
298,442A,#23,610,"$546,800",113
299,442A,#24,610,"$548,800",113
300,442A,#25,610,"$550,800",113
301,442A,#26,610,"$550,800",113
302,443A,#02,648,"$450,500",113
303,443A,#03,648,"$457,900",113
304,443A,#04,648,"$470,200",113
305,443A,#05,648,"$482,500",113
306,443A,#06,648,"$487,400",113
307,443A,#07,648,"$492,300",113
308,443A,#08,648,"$497,200",113
309,443A,#09,648,"$499,200",113
310,443A,#10,648,"$506,100",113
311,443A,#11,648,"$503,200",113
312,443A,#12,648,"$505,200",113
313,443A,#13,648,"$507,200",113
314,443A,#14,648,"$509,200",113
315,443A,#15,648,"$511,200",113
316,443A,#16,648,"$513,200",113
317,443A,#17,648,"$515,200",113
318,443A,#18,648,"$517,200",113
319,443A,#19,648,"$519,200",113
320,443A,#20,648,"$521,200",113
321,443A,#21,648,"$523,200",113
322,443A,#22,648,"$530,100",113
323,443A,#23,648,"$537,000",113
324,443A,#24,648,"$539,000",113
325,443A,#25,648,"$539,000",113
326,443A,#02,650,"$450,500",113
327,443A,#03,650,"$457,900",113
328,443A,#04,650,"$470,200",113
329,443A,#05,650,"$482,500",113
330,443A,#06,650,"$487,400",113
331,443A,#07,650,"$492,300",113
332,443A,#08,650,"$497,200",113
333,443A,#09,650,"$499,200",113
334,443A,#10,650,"$506,100",113
335,443A,#11,650,"$503,200",113
336,443A,#12,650,"$505,200",113
337,443A,#13,650,"$507,200",113
338,443A,#14,650,"$509,200",113
339,443A,#15,650,"$511,200",113
340,443A,#16,650,"$513,200",113
341,443A,#17,650,"$515,200",113
342,443A,#18,650,"$517,200",113
343,443A,#19,650,"$519,200",113
344,443A,#20,650,"$521,200",113
345,443A,#21,650,"$523,200",113
346,443A,#22,650,"$530,100",113
347,443A,#23,650,"$537,000",113
348,443A,#24,650,"$539,000",113
349,443A,#25,650,"$539,000",113
350,445A,#02,706,"$440,700",113
351,445A,#03,706,"$448,100",113
352,445A,#04,706,"$460,400",113
353,445A,#05,706,"$472,700",113
354,445A,#06,706,"$477,600",113
355,445A,#07,706,"$482,500",113
356,445A,#08,706,"$487,400",113
357,445A,#09,706,"$489,400",113
358,445A,#10,706,"$496,300",113
359,445A,#11,706,"$493,400",113
360,445A,#12,706,"$495,400",113
361,445A,#13,706,"$497,400",113
362,445A,#14,706,"$499,400",113
363,445A,#15,706,"$501,400",113
364,445A,#16,706,"$503,400",113
365,445A,#17,706,"$505,400",113
366,445A,#18,706,"$507,400",113
367,445A,#19,706,"$509,400",113
368,445A,#20,706,"$511,400",113
369,445A,#21,706,"$518,300",113
370,445A,#22,706,"$525,200",113
371,445A,#23,706,"$522,300",113
372,445A,#24,706,"$522,300",113
373,445A,#03,708,"$448,100",113
374,445A,#04,708,"$460,400",113
375,445A,#05,708,"$472,700",113
376,445A,#06,708,"$477,600",113
377,445A,#07,708,"$482,500",113
378,445A,#08,708,"$487,400",113
379,445A,#09,708,"$489,400",113
380,445A,#10,708,"$496,300",113
381,445A,#11,708,"$493,400",113
382,445A,#12,708,"$495,400",113
383,445A,#13,708,"$497,400",113
384,445A,#14,708,"$499,400",113
385,445A,#15,708,"$501,400",113
386,445A,#16,708,"$503,400",113
387,445A,#17,708,"$505,400",113
388,445A,#18,708,"$507,400",113
389,445A,#19,708,"$509,400",113
390,445A,#20,708,"$511,400",113
391,445A,#21,708,"$518,300",113
392,445A,#22,708,"$525,200",113
393,445A,#23,708,"$522,300",113
394,445A,#24,708,"$522,300",113
395,445B,#01,746,"$465,200",113
396,445B,#02,746,"$470,100",113
397,445B,#03,746,"$477,500",113
398,445B,#04,746,"$484,900",113
399,445B,#05,746,"$492,300",113
400,445B,#06,746,"$497,200",113
401,445B,#07,746,"$502,100",113
402,445B,#08,746,"$502,100",113
